資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference
資料,作業文件 (SOP),1. 未經授權的揭露 (Unauthorized disclosure),關鍵作業流程文件被內部非相關人員或外部人員竊取，可能導致業務流程或內部控制方法外洩。,"ISO/IEC 27005, A.10, TH07",敵對的內部人員,員工為了個人利益將SOP文件洩漏給競爭對手。,"NIST SP 800-30, D-2",存取控制清單(ACL)設定不當,"檔案伺服器上的資料夾權限設定為 ""Everyone"" 可讀取，而非依據職務需求設定。","CNS 27001, A.5.15"
資料,作業文件 (SOP),2. 未經授權的修改 (Unauthorized modification),SOP文件內容被惡意或無意地竄改，導致人員依循錯誤的程序執行作業，造成營運中斷或損失。,"ISO/IEC 27005, A.10, TH09",敵對的內部人員,心懷不滿的員工故意修改SOP中的關鍵參數，意圖造成生產或作業錯誤。,"NIST SP 800-30, D-2",缺乏檔案完整性監控機制,沒有系統可以偵測重要文件何時被誰修改，也缺乏版本控制來追蹤變更。,"CNS 27001, A.8.16"
資料,作業文件 (SOP),3. 文件遺失或銷毀 (Loss or destruction),存放SOP的伺服器因硬碟故障，且無備份，導致作業程序知識遺失。,"ISO/IEC 27005, A.10, TH08",結構性因素,儲存設備已過保固年限，發生無預警的實體故障。,"NIST SP 800-30, D-2",備份程序不完整或未測試,雖然有備份，但從未實際執行還原演練，備份檔可能已損毀或無法使用。,"CNS 27001, A.8.13"
資料,作業文件 (SOP),4. 文件版本錯亂 (Version control failure),員工使用了過期或錯誤版本的SOP進行操作，導致不符合現行規範或造成品質問題。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),員工從自己的電腦本機，而非中央文件庫，開啟了舊版的SOP檔案來執行工作。,"NIST SP 800-30, G-4",缺乏集中的文件管理系統,沒有統一的平台來管理SOP的版本、發布與廢止，文件散落在各處。,"CNS 27001, A.5.31"
資料,作業文件 (SOP),5. 實體文件不當銷毀 (Improper disposal),含有敏感作業流程的SOP紙本文件，在汰舊換新時，被當作一般廢紙處理，未經碎紙銷毀。,"ISO/IEC 27005, A.10, TH07",內部人員 (意外),清潔人員或員工不了解文件銷毀程序，將應銷毀的文件混入回收箱。,"NIST SP 800-30, G-4",缺乏媒體銷毀政策與程序,沒有明確定義不同敏感級的文件應如何銷毀，也缺乏相關的教育訓練。,"CNS 27001, A.7.10"
資料,作業文件 (SOP),6. 螢幕窺視 (Shoulder surfing),員工在座位上查閱高度機密的SOP時，被經過的訪客或非相關同事窺視螢幕內容。,"ISO/IEC 27005, A.10, TH07",外部人員 / 內部人員,訪客在洽談區待時，從旁看到員工電腦上顯示的內部網路架構圖。,"NIST SP 800-30, D-2",未使用螢幕防窺片,處理敏感資訊的員工，其電腦螢幕未加裝防窺片，以限制可視角度。,"CNS 27001, A.7.7"
資料,作業文件 (SOP),7. 透過共享連結外洩 (Leakage via sharing links),員工為了方便，將存放在雲端硬碟的SOP文件設定為「知道連結的任何人均可檢視」，並將連結外傳。,"ISO/IEC 27005, A.10, TH07",內部人員 (意外),員工將應對內分享的文件連結，誤貼到外部的公開論壇或社群媒體。,"NIST SP 800-30, G-4",雲端協作平台權限設定不當,企業版雲端硬碟的管理後台，未限制或監控員工對外分享檔案的行為。,"CNS 27001, A.5.22"
資料,作業文件 (SOP),8. 社交工程騙取 (Deception by social engineering),攻擊者偽裝成稽核人員，向員工索取特定的系統操作SOP，員工未經查證即提供。,"ISO/IEC 27005, A.10, TI02",外部攻擊者,攻擊者透過電話，冒充總公司IT人員，要求分公司同仁提供VPN設定SOP。,"NIST SP 800-30, D-2",員工資安意識不足,員工未被訓練如何識別與應對社交工程攻擊，缺乏驗證對方身分真偽的警覺性。,"CNS 27001, A.6.3"
資料,作業文件 (SOP),9. 文件內容不完整或錯誤 (Incomplete or incorrect information),SOP內容因撰寫者疏忽而有缺漏或錯誤，導致新進員工學習錯誤的操作方式。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),撰寫SOP的資深員工，遺漏了某個只有他知道的關鍵例外處理步驟。,"NIST SP 800-30, G-4",缺乏文件審核(Review)流程,SOP文件在發布前，未經由第二位具備相同專業的人員或主管進行審核與驗證。,"CNS 27001, A.5.31"
資料,作業文件 (SOP),10. 透過惡意軟體竊取 (Theft by malware),員工電腦感染資訊竊取型木馬，該木馬掃描電腦內所有文件檔，並將SOP文件回傳至攻擊者。,"ISO/IEC 27005, A.10, TH10",外部攻擊者,員工點擊釣魚郵件附件後，電腦被植入後門程式，攻擊者可遠端存取其所有檔案。,"NIST SP 800-30, D-2",端點防護(EDR)機制不足,電腦僅安裝傳統防毒軟體，無法偵測或阻擋無檔案(Fileless)攻擊或新型態的惡意軟體。,"CNS 27001, A.8.7"
資料,作業文件 (緊急應變程序),11. 緊急時無法取得 (Inaccessibility),發生災難事件時（如：斷網、斷電），存放緊急應變程序的數位檔案無法被存取。,"ISO/IEC 27005, A.10, TH08",環境因素,地震導致辦公室電力與網路全部中斷，員工無法連線至伺服器查看應變計畫。,"NIST SP 800-30, D-2",缺乏離線或實體副本,緊急應變計畫僅存放於線上系統，未在指定地點（如緊急集合點）存放紙本或離線副本。,"CNS 27001, A.5.30"
資料,作業文件 (緊急應變程序),12. 程序內容過時 (Outdated information),緊急應變程序未隨組織變動（如：人員異動、系統更換）而更新，導致內容無效。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),因業務繁忙或職責不清，負責更新的人員未能定期審視並更新文件內容。,"NIST SP 800-30, G-4",缺乏文件審查與更新機制,沒有制度化的流程來確保緊急應變計畫每年或在重大變更後進行審查與演練。,"CNS 27001, A.5.31"
資料,作業文件 (緊急應變程序),13. 聯絡資訊錯誤 (Incorrect contact information),緊急聯絡人清單中的人員已離職或更換手機號碼，但在文件中未被更新，導致緊急時無法聯繫。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),人事異動時，HR部門與文件管理者之間沒有建立有效的資訊同步機制。,"NIST SP 800-30, G-4",未定期驗證聯絡資訊有效性,沒有排程定期（如每季）檢查並測試緊急聯絡人清單中的所有電話或郵件。,"CNS 27001, A.5.30"
資料,作業文件 (緊急應變程序),14. 實體副本存放地點不當 (Improper storage of physical copies),緊急應變程序的紙本副本，與主要設備存放在同一個機房內，若機房失火將一同被毀。,"ISO/IEC 27005, A.10, TP01",環境因素 / 內部人員(意外),為了方便，將災害復原計畫的紙本直接放在機房的櫃子裡。,"NIST SP 800-30, G-4",未落實異地存放原則,營運持續計畫中，未要求關鍵文件的實體副本必須存放在不同地理位置的建築物中。,"CNS 27001, A.5.30"
資料,作業文件 (緊急應變程序),15. 內容過於複雜難懂 (Overly complex procedures),緊急應變程序寫得如同技術手冊，在壓力情境下，人員難以快速理解並確實執行。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),文件由技術人員撰寫，使用了過多專業術語，且未考慮到非技術人員的可讀性。,"NIST SP 800-30, G-4",文件撰寫未考慮實際使用情境,未將緊急應變程序設計成易於使用的檢查表(Checklist)或流程圖形式。,"CNS 27001, A.6.3"
資料,作業文件 (緊急應變程序),16. 未經授權的修改 (Unauthorized modification),惡意員工竄改災害復原計畫中的備份還原指令，企圖在真實災難發生時擴大損失。,"ISO/IEC 27005, A.10, TH09",敵對的內部人員,即將離職的網管人員，修改了還原腳本中的目標路徑，使其指向錯誤的位置。,"NIST SP 800-30, D-2",文件存取權限過於寬鬆,許多非必要人員都被授予了對緊急應變程序的寫入權限。,"CNS 27001, A.5.15"
資料,作業文件 (緊急應變程序),17. 計畫未經演練驗證 (Untested plan),緊急應變計畫僅是紙上談兵，從未實際演練，導致計畫中的假設與現實脫節。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),管理階層因擔心影響日常營運，而未批准或執行定期的災難復原演練。,"NIST SP 800-30, G-4",缺乏營運持續管理(BCM)文化,組織不重視營運持續計畫，未投入足夠資源進行計畫的維護、演練與改善。,"CNS 27001, A.5.30"
資料,作業文件 (緊急應變程序),18. 關鍵供應商資訊遺失 (Loss of key supplier information),緊急應變程序中缺乏備援ISP、硬體維護廠商關鍵供應商的緊急聯絡方式與合約號碼。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),在建立計畫時，未能完整盤點所有災難復原時可能需要聯繫的外部單位。,"NIST SP 800-30, G-4",供應商管理與BCM未整合,採購或法務部門管理的供應商資訊，未與營運持續計畫進行整合與同步。,"CNS 27001, A.5.21"
