資產層級,資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference,對應ISO 42005資產類別,衝擊類別,衝擊說明,衝擊 Reference
組織,有形資產,數據 (訓練數據),污染訓練資料以植入後門 (Poison Training Data - Backdoor Attack),攻擊者在訓練資料中注入帶有特定觸發器（trigger）的樣本，使模型在遇到該觸發器時產生攻擊者預設的錯誤輸出，而正常輸入則不受影響。,MITRE ATLAS: AML.T0020,敵對的內部人員 (Adversarial Insider),具備合法資料存取權限的員工、承包商，出於惡意動機（如報復、商業間諜）竄改訓練資料。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",資料變更的監控與審計機制不足,缺乏對訓練資料集的版本控制、存取紀錄和完整性校驗，無法即時偵測到未經授權的修改。,"NIST AI RMF 1.0, GOVERN 1.3",6.3 AI 系統資訊,安全性與隱私 / 可靠性,模型在特定條件下被遠端操控，可能導致關鍵決策錯誤、略過安全驗證或執行惡意指令。,Clause 6.8.2.2
組織,有形資產,數據 (訓練數據),污染訓練資料以降低模型可用性 (Poison Training Data - Availability Attack),攻擊者在訓練資料中注入大量雜訊或不相關的樣本，旨在破壞模型的學習過程，使其整體預測準確率下降，無法正常提供服務。,MITRE ATLAS: AML.T0020,外部攻擊者 (External Attacker),競爭對手或駭客組織透過入侵資料庫或資料管道，對訓練資料進行大規模的破壞性修改。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",資料來源與管道的防護不足,從外部來源收集資料的管道（如 API、爬蟲）缺乏足夠的安全驗證，容易被注入惡意資料。,"NIST AI RMF 1.0, MAP 2.3",6.3 AI 系統資訊,可靠性,模型的性能顯著下降，導致服務中斷、決策品質低落，影響業務連續性。,Clause 6.8.2
組織,有形資產,數據 (訓練數據),污染訓練資料以注入偏見 (Poison Training Data - Bias Injection),攻擊者刻意在訓練資料中不成比例地增加或刪除特定群體的樣本，導致模型對該群體產生歧視性或不公平的預測結果。,MITRE ATLAS: AML.T0020,意識形態活動家 (Ideological Activist),特定團體為了宣揚其理念或打擊特定族群，惡意操縱公開的資料集或透過眾包平台污染資料標註。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",資料集代表性與偏見的分析不足,在模型開發前，未能對訓練資料的來源、分布及潛在的社會偏見進行充分的審查與緩解。,"NIST AI RMF 1.0, MAP 2.1",6.4 資料與知識,公平性,AI 系統對特定受保護群體做出不公平的決策（如招聘、信貸審批），引發社會爭議、法律訴訟與品牌聲譽受損。,Clause 6.8.2.3
組織,有形資產,數據 (訓練數據),成員推斷攻擊 (Membership Inference Attack),攻擊者透過與模型互動，判斷某一筆特定資料（例如某位用戶的個人資料）是否曾被用於該模型的訓練，進而洩漏個人隱私。,MITRE ATLAS: AML.T0010,好奇的內部人員或外部研究員,具有模型查詢權限的人員，出於好奇心或惡意研究，試圖驗證特定敏感資料是否存在於訓練集中。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",訓練資料的匿名化或差分隱私技術應用不足,在將敏感資料用於訓練前，未能採取有效的去識別化技術來保護個人隱私。,"NIST AI RMF 1.0, MEASURE 1.2",6.4 資料與知識,安全性與隱私,洩漏了用戶曾參與某項訓練（如特定疾病預測模型），違反 GDPR、個資法等法規，面臨高額罰款與信任危機。,Clause 6.5.4 (j)
組織,有形資產,數據 (訓練數據),訓練資料竊取 (Data Theft),未經授權的第三方直接竊取儲存訓練資料的整個資料庫或檔案，可能用於訓練自己的模型或轉售牟利。,NIST AI RMF 1.0 (Core: MAP 3.1),組織犯罪 (Organized Crime),犯罪集團以獲取高價值的專有數據為目標，進行有組織的網路攻擊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",存取控制與加密機制不當,儲存訓練資料的伺服器或雲端儲存桶的存取權限設定過於寬鬆，或未對靜態資料進行加密。,"NIST AI RMF 1.0, GOVERN 2",6.4 資料與知識,安全性與隱私,喪失核心商業資產，削弱競爭優勢；若資料包含客戶隱私，將引發大規模的個資外洩事件，造成巨大財務損失。,Clause 6.8.2.1
組織,有形資產,數據 (訓練數據),不當的資料標註 (Incorrect Data Labeling),由於人工標註錯誤、標註指引不清或標註工具的缺陷，導致訓練資料中的標籤不準確，進而影響模型學習的正確性。,NIST AI RMF 1.0 (Core: GOVERN 4.2),資料標註人員 (Human Annotator),標註人員因疏忽、疲勞或對標註任務理解不清，提供了錯誤的標籤。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏標註品質的驗證與共識機制,未能建立多重標註、交叉驗證或由專家審核的機制，來確保資料標註的一致性與準確性。,"NIST AI RMF 1.0, GOVERN 4.2",6.4 資料與知識,可靠性 / 責任制,模型學習到錯誤的模式導致預測失準；在安全場景下可能造成防護失效，且難以追究錯誤標註的責任。,Clause 6.8.2
組織,有形資產,數據 (訓練數據),侵犯版權與智慧財產權 (Copyright and IP Infringement),在未經授權的情況下，使用受版權保護的資料（如圖片、文章、程式碼）進行模型訓練，違反了相關法律法規。,NIST AI RMF 1.0 (Core: GOVERN 5),開發人員 (Developer),開發人員為了快速取得資料，或因對智財權法規不熟悉，從網路上抓取未經授權的內容用於模型訓練。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",資料來源的合法性與授權追蹤不足,組織缺乏對所用資料來源的智慧財產權進行審查的流程，也未能記錄和管理相關的授權許可。,"NIST AI RMF 1.0, GOVERN 5",6.4 資料與知識,責任制,公司可能面臨侵權訴訟，被要求銷毀模型、支付高額賠償金，並對商譽造成嚴重打擊。,Clause 6.3.4
組織,有形資產,數據 (訓練數據),資料集漂移 (Dataset Drift),用於訓練模型的歷史資料分布，與模型部署後在真實世界中遇到的資料分布產生顯著差異，導致模型性能下降。,NIST AI RMF 1.0 (Core: MANAGE 2),自然的環境變化 (Natural Environmental Shift),市場趨勢、用戶行為或外部環境隨時間自然演變，導致舊的資料模式不再適用。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏對資料分布的持續監控機制,模型部署後，未能建立有效機制來監控輸入資料的統計特性，並在發生漂移時觸發警報或再訓練流程。,"NIST AI RMF 1.0, MANAGE 2",6.4 資料與知識,可靠性,模型在現實場景中的預測能力逐漸衰退，做出過時或錯誤的判斷，影響業務決策的時效性與準確性。,Clause 6.8.2
組織,有形資產,數據 (訓練數據),訓練-服務歪斜 (Train-Serve Skew),訓練階段與服務階段的資料預處理流程不一致，導致模型在實際應用中收到的特徵與訓練時學習到的特徵不匹配。,NIST AI RMF 1.0 (Core: GOVERN 3),維運/開發團隊 (Operations/Dev Team),負責部署的工程師與資料科學家在實作資料處理流程時產生細微差異，此為流程與溝通上的疏失。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",開發與部署流程(MLOps)未標準化,缺乏一個統一且自動化的流程來確保從資料獲取、預處理到模型推論的每一步驟都是一致且可重現的。,"NIST AI RMF 1.0, GOVERN 3",6.3 AI 系統資訊,可靠性 / 透明度/可解釋性,模型線上表現遠不如預期，且因流程不一致導致問題難以追溯與解釋。,Clause 6.3.4
組織,有形資產,數據 (訓練數據),屬性推斷攻擊 (Attribute Inference Attack),即使不知道某個體在訓練集中，攻擊者仍可透過模型推斷出該個體的敏感屬性（例如，從寫作風格推斷作者的母語或教育程度）。,MITRE ATLAS: AML.T0011,惡意的模型使用者 (Malicious Model User),任何可以與模型互動的使用者，透過精心設計的查詢來反向推斷訓練資料中存在的群體特徵或個人屬性。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",模型對訓練資料的過度記憶 (Over-memorization),模型（特別是大型模型）在訓練過程中記憶了部分訓練樣本的細節，而不是學習到泛化的規律，導致敏感資訊洩漏。,"NIST AI RMF 1.0, MEASURE 2.3",6.5 演算法與模型資訊,安全性與隱私,揭露了個人未曾公開的敏感資訊，可能被用於歧視、詐騙或社會工程攻擊，構成嚴重的隱私侵害。,Clause 6.5.4 (j)
